,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
104,realme,flame silver,34,2799,5999,4.4,16174,53
105,truke,sunset orange,60,999,3499,4.1,3204,71
106,boult,glacier blue,35,899,2499,4.1,169713,64
107,boult,powder blue,60,999,5999,4.1,73945,83
108,boult,black,60,1299,3999,4.0,88,67
109,boult,white,70,999,3499,4.1,31177,71
110,triggr,jungle green,40,599,2999,4.0,42330,80
111,boult,lavender,48,799,2999,4.1,460,73
112,realme,arctic white,34,2499,5999,4.3,40645,58
113,realme,forrest green,34,2799,5999,4.4,16174,53
114,boult,jet black,55,799,2499,4.0,13691,68
115,realme,monet purple,34,1999,3999,4.3,117891,50
116,triggr,sky black,40,599,2999,4.0,42330,80
117,noise,navy grain,40,1099,3499,4.3,1387,68
118,boat,slate blue,34,999,5490,4.0,138188,81
119,mivi,black,34,699,3499,4.0,32182,80
120,boult,white opal,48,1199,3499,4.1,121538,65
121,triggr,army green,34,799,3999,4.0,10320,80
122,boat,rose quartz,34,2299,13990,4.2,86985,83
123,mivi,grey,34,699,3499,4.0,32182,80
124,truke,champagne gold,60,799,2999,4.0,27432,73
125,noise,calm beige,50,1299,3499,4.0,599132,62
126,triggr,black,34,799,3999,4.0,58526,80
127,boult,electric black,48,899,2999,4.1,131863,70
128,realme,titanium twilight,34,4999,7999,4.4,8318,37
129,nothing,black,34,7999,12999,4.3,12593,38
130,boult,ivory white,48,899,2999,4.1,131863,70
131,hoppup,red,34,799,4999,4.0,4324,84
132,boult,white,70,999,3499,4.1,31177,71
133,boat,black,34,1199,6990,4.0,1946756,82
134,mivi,beige,34,699,3499,4.0,32182,80
135,boat,crystal black,120,1899,9990,4.1,107224,80
136,triggr,jungle green,40,599,2999,4.0,42330,80
137,boult,glacier blue,35,899,2499,4.1,169713,64
138,boat,slate blue,34,999,5490,4.0,138188,81
139,boat,interstellar white,34,1599,6490,4.1,9693,75
140,triggr,sky black,40,599,2999,4.0,42330,80
141,triggr,punk yellow,34,799,3999,4.0,10320,80
142,mivi,sapphire blue,34,999,4999,4.0,11389,80
143,noise,sky blue,50,1299,3499,4.0,599132,62
144,noise,soft purple,50,1299,3499,4.0,599132,62
145,boult,dyno silver,60,1499,4999,4.2,23605,70
